model,label,precision,recall,f1-score,support
majority,technical_help,0.432432,1.000000,0.603774,16.000000
majority,showcase_reaction,0.000000,0.000000,0.000000,9.000000
majority,critique_feedback,0.000000,0.000000,0.000000,6.000000
majority,meta_opinion,0.000000,0.000000,0.000000,6.000000
tfidf_logistic_regression,technical_help,0.529412,0.562500,0.545455,16.000000
tfidf_logistic_regression,showcase_reaction,0.285714,0.222222,0.250000,9.000000
tfidf_logistic_regression,critique_feedback,0.000000,0.000000,0.000000,6.000000
tfidf_logistic_regression,meta_opinion,0.333333,0.666667,0.444444,6.000000
distilbert,technical_help,0.432432,1.000000,0.603774,16.000000
distilbert,showcase_reaction,0.000000,0.000000,0.000000,9.000000
distilbert,critique_feedback,0.000000,0.000000,0.000000,6.000000
distilbert,meta_opinion,0.000000,0.000000,0.000000,6.000000
distilbert_weighted,technical_help,0.333333,0.062500,0.105263,16.000000
distilbert_weighted,showcase_reaction,0.500000,0.111111,0.181818,9.000000
distilbert_weighted,critique_feedback,0.000000,0.000000,0.000000,6.000000
distilbert_weighted,meta_opinion,0.250000,1.000000,0.400000,6.000000
